step,plants_available,prey,predators,competitors
0,200,60,25,0
1,184,60,25,0
2,160,60,25,0
3,143,59,25,0
4,131,57,25,0
5,125,54,25,0
6,118,59,25,0
7,111,57,25,0
8,103,58,25,0
9,94,57,25,0
10,87,56,25,0
11,84,56,26,0
12,91,50,26,0
13,100,50,26,0
14,118,45,26,0
15,127,46,14,0
16,128,33,14,0
17,132,32,14,0
18,135,28,14,0
19,137,27,15,0
20,141,25,15,0
21,141,24,15,0
22,140,22,16,0
23,136,22,8,0
24,138,20,8,0
25,142,19,8,0
26,143,19,8,0
27,143,19,8,0
28,146,16,8,0
29,147,16,7,0
30,147,17,7,0
31,147,16,4,0
32,151,15,3,0
33,156,15,3,0
34,156,13,3,0
35,158,13,3,0
36,157,13,3,0
37,159,13,3,0
38,161,12,3,0
39,167,12,1,0
40,167,11,1,0
41,169,11,1,0
42,171,11,1,0
43,170,11,1,0
44,172,11,1,0
45,176,11,0,0
46,179,10,0,0
47,179,11,0,0
48,176,11,0,0
49,175,11,0,0
50,175,11,0,0
51,176,11,0,0
52,177,11,0,0
53,174,11,0,0
54,176,9,0,0
55,176,9,0,0
56,173,9,0,0
57,174,9,0,0
58,176,9,0,0
59,177,9,0,0
60,176,7,0,0
61,176,7,0,0
62,175,7,0,0
63,175,7,0,0
64,175,7,0,0
65,179,7,0,0
66,178,8,0,0
67,178,8,0,0
68,180,9,0,0
69,181,9,0,0
70,180,9,0,0
71,181,9,0,0
72,181,9,0,0
73,184,9,0,0
74,184,7,0,0
75,185,7,0,0
76,184,6,0,0
77,185,6,0,0
78,185,6,0,0
79,186,5,0,0
80,183,5,0,0
81,184,6,0,0
82,185,5,0,0
83,186,5,0,0
84,188,5,0,0
85,189,5,0,0
86,187,5,0,0
87,186,5,0,0
88,189,5,0,0
89,188,5,0,0
90,188,5,0,0
91,190,5,0,0
92,189,4,0,0
93,187,4,0,0
94,187,4,0,0
95,187,4,0,0
96,187,5,0,0
97,185,5,0,0
98,186,5,0,0
99,184,5,0,0
100,185,5,0,0
101,185,5,0,0
102,183,5,0,0
103,184,5,0,0
104,186,5,0,0
105,184,5,0,0
106,183,5,0,0
107,183,5,0,0
108,185,5,0,0
109,184,5,0,0
110,183,5,0,0
111,186,5,0,0
112,184,5,0,0
113,186,5,0,0
114,186,6,0,0
115,183,6,0,0
116,182,6,0,0
117,183,6,0,0
118,183,6,0,0
119,181,6,0,0
120,180,6,0,0
121,183,6,0,0
122,183,6,0,0
123,183,6,0,0
124,183,6,0,0
125,183,6,0,0
126,185,6,0,0
127,188,6,0,0
128,186,5,0,0
129,187,4,0,0
130,186,5,0,0
131,189,5,0,0
132,190,5,0,0
133,190,5,0,0
134,188,4,0,0
135,188,4,0,0
136,189,4,0,0
137,191,4,0,0
138,191,4,0,0
139,192,4,0,0
140,194,5,0,0
141,195,4,0,0
142,193,3,0,0
143,193,3,0,0
144,191,3,0,0
145,194,3,0,0
146,194,3,0,0
147,193,3,0,0
148,194,3,0,0
149,194,3,0,0
150,194,2,0,0
151,193,2,0,0
152,193,1,0,0
153,194,1,0,0
154,194,1,0,0
155,196,1,0,0
156,196,1,0,0
157,197,1,0,0
158,198,1,0,0
159,198,1,0,0
160,198,1,0,0
161,198,1,0,0
162,199,1,0,0
163,199,1,0,0
164,200,1,0,0
165,200,1,0,0
166,200,1,0,0
167,200,1,0,0
168,200,0,0,0
169,200,0,0,0
170,200,0,0,0
171,200,0,0,0
172,200,0,0,0
173,200,0,0,0
174,200,0,0,0
175,200,0,0,0
176,200,0,0,0
177,200,0,0,0
178,200,0,0,0
179,200,0,0,0
180,200,0,0,0
181,200,0,0,0
182,200,0,0,0
183,200,0,0,0
184,200,0,0,0
185,200,0,0,0
186,200,0,0,0
187,200,0,0,0
188,200,0,0,0
189,200,0,0,0
190,200,0,0,0
191,200,0,0,0
192,200,0,0,0
193,200,0,0,0
194,200,0,0,0
195,200,0,0,0
196,200,0,0,0
197,200,0,0,0
198,200,0,0,0
199,200,0,0,0
200,200,0,0,30
201,193,0,0,30
202,186,0,0,30
203,180,0,0,30
204,173,0,0,30
205,168,0,0,32
206,157,0,0,35
207,153,0,0,38
208,145,0,0,38
209,140,0,0,39
210,136,0,0,35
211,131,0,0,37
212,133,0,0,38
213,134,0,0,36
214,135,0,0,33
215,141,0,0,32
216,140,0,0,34
217,141,0,0,33
218,141,0,0,32
219,139,0,0,31
220,142,0,0,29
221,139,0,0,29
222,139,0,0,30
223,139,0,0,28
224,137,0,0,27
225,135,0,0,29
226,134,0,0,29
227,135,0,0,29
228,137,0,0,29
229,143,0,0,27
230,139,0,0,25
231,141,0,0,24
232,145,0,0,24
233,144,0,0,25
234,143,0,0,25
235,145,0,0,24
236,144,0,0,26
237,148,0,0,25
238,148,0,0,25
239,142,0,0,25
240,141,0,0,24
241,139,0,0,24
242,144,0,0,27
243,142,0,0,25
244,142,0,0,24
245,145,0,0,23
246,143,0,0,22
247,142,0,0,24
248,143,0,0,24
249,144,0,0,23
